row_id,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
2,CA-2016-152156,11/8/2016,11/11/2016,"Second Class",CG-12520,FUR-CH-10000454,731.94,3,0,219.582
4,US-2015-108966,10/11/2015,10/18/2015,"Standard Class",SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031
11,CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092
25,CA-2015-106320,9/25/2015,9/30/2015,"Standard Class",EB-13870,FUR-TA-10000577,1044.63,3,0,240.2649
28,US-2015-150630,9/17/2015,9/21/2015,"Standard Class",TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
36,CA-2016-117590,12/8/2016,12/10/2016,"First Class",GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737
39,CA-2015-117415,12/27/2015,12/31/2015,"Standard Class",SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764
55,CA-2016-105816,12/11/2016,12/17/2016,"Standard Class",JM-15265,TEC-PH-10002447,1029.95,5,0,298.6855
58,CA-2016-111682,6/17/2016,6/18/2016,"First Class",TB-21055,FUR-CH-10003968,319.41,5,0.1,7.098
68,CA-2014-106376,12/5/2014,12/10/2014,"Standard Class",BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024
110,CA-2015-129476,10/15/2015,10/20/2015,"Standard Class",PA-19060,TEC-AC-10000844,339.96,5,0.2,67.992
146,CA-2015-110744,9/7/2015,9/12/2015,"Standard Class",HA-14920,OFF-ST-10003656,671.93,7,0,20.1579
150,CA-2016-114489,12/5/2016,12/9/2016,"Standard Class",JE-16165,FUR-CH-10000454,1951.84,8,0,585.552
166,CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992
174,CA-2014-118962,8/5/2014,8/9/2014,"Standard Class",CS-12130,FUR-CH-10003817,340.144,7,0.2,21.259
182,CA-2014-166191,12/5/2014,12/9/2014,"Second Class",DK-13150,TEC-AC-10004659,408.744,7,0.2,76.6395
190,CA-2015-102281,10/12/2015,10/14/2015,"First Class",MP-17470,FUR-BO-10002613,899.136,4,0.2,112.392
219,CA-2016-130162,10/28/2016,11/1/2016,"Standard Class",JH-15910,TEC-PH-10002563,302.376,3,0.2,22.6782
224,CA-2015-169397,12/24/2015,12/27/2015,"First Class",JB-15925,TEC-MA-10001148,479.988,4,0.7,-383.9904
227,CA-2015-163055,8/9/2015,8/16/2015,"Standard Class",DS-13180,FUR-TA-10003748,622.45,5,0,136.939
245,CA-2014-131926,6/1/2014,6/6/2014,"Second Class",DW-13480,FUR-CH-10004063,2001.86,7,0,580.5394
252,CA-2016-145625,9/11/2016,9/17/2016,"Standard Class",KC-16540,TEC-AC-10003832,3347.37,13,0,636.0003
254,CA-2016-146941,12/10/2016,12/13/2016,"First Class",DL-13315,OFF-EN-10003296,361.92,4,0,162.864
263,US-2014-106992,9/19/2014,9/21/2014,"Second Class",SB-20290,TEC-MA-10000822,3059.982,3,0.4,-509.997
265,CA-2016-125318,6/6/2016,6/13/2016,"Standard Class",RC-19825,TEC-PH-10001433,328.224,4,0.2,28.7196
282,US-2015-161991,9/26/2015,9/28/2015,"Second Class",SC-20725,TEC-PH-10001760,1114.4,7,0.2,376.11
283,CA-2015-130890,11/2/2015,11/6/2015,"Standard Class",JO-15280,FUR-TA-10002903,1038.84,5,0.2,51.942
289,CA-2016-112697,12/18/2016,12/20/2016,"Second Class",AH-10195,OFF-SU-10000646,961.48,5,0.2,-204.3145
308,CA-2014-111003,6/1/2014,6/6/2014,"Standard Class",CR-12625,OFF-AR-10002135,289.2,6,0,83.868
319,CA-2014-164973,11/4/2014,11/9/2014,"Standard Class",NM-18445,TEC-MA-10002927,3991.98,2,0,1995.99
