customer_id,order_id,sales,row_num
AA-10315,CA-2016-103982,3930.072,1
AA-10315,CA-2014-128055,673.568,2
AA-10315,CA-2016-103982,431.976,3
AA-10315,CA-2017-147039,362.94,4
AA-10315,CA-2014-128055,52.98,5
AA-10315,CA-2016-103982,41.72,6
AA-10315,CA-2015-121391,26.96,7
AA-10315,CA-2014-138100,14.94,8
AA-10315,CA-2014-138100,14.56,9
AA-10315,CA-2017-147039,11.54,10
AA-10315,CA-2016-103982,2.304,11
AA-10375,CA-2016-131065,499.98,1
AA-10375,CA-2015-140921,149.97,2
AA-10375,CA-2017-100230,116.98,3
AA-10375,CA-2015-114503,84.96,4
AA-10375,US-2017-169488,39.96,5
AA-10375,CA-2014-130729,34.272,6
AA-10375,CA-2015-140921,28.4,7
AA-10375,CA-2017-100230,17.94,8
AA-10375,US-2017-169488,16.9,9
AA-10375,CA-2016-126613,16.768,10
AA-10375,CA-2014-158064,16.52,11
AA-10375,CA-2017-100230,14.952,12
AA-10375,CA-2016-131065,8.26,13
AA-10375,CA-2016-131065,5.28,14
AA-10375,CA-2015-109939,5.248,15
AA-10480,CA-2016-114601,479.97,1
AA-10480,CA-2016-114601,447.84,2
AA-10480,CA-2016-121671,265.17,3
AA-10480,CA-2016-121671,242.94,4
AA-10480,CA-2016-114601,209.97,5
AA-10480,CA-2016-121671,51.84,6
AA-10480,CA-2014-155271,27.46,7
AA-10480,CA-2016-121671,21.93,8
AA-10480,CA-2017-114412,15.552,9
AA-10480,CA-2016-114601,11.56,10
AA-10480,CA-2016-114601,8.64,11
AA-10645,CA-2015-110863,1323.9,1
AA-10645,CA-2016-147137,1279.165,2
AA-10645,CA-2014-154963,853.93,3
AA-10645,CA-2014-143210,271.9,4
AA-10645,CA-2014-154963,170.058,5
AA-10645,CA-2016-131205,129.92,6
AA-10645,CA-2016-131205,113.94,7
AA-10645,CA-2015-110863,106.32,8
AA-10645,CA-2014-154963,82.782,9
AA-10645,CA-2016-131205,42.6,10
AA-10645,CA-2016-147137,27.92,11
AA-10645,CA-2016-147137,25.4,12
AA-10645,CA-2017-157196,12.96,13
AA-10645,CA-2014-143210,9.82,14
AA-10645,CA-2016-131205,5.28,15
AB-10015,CA-2016-140935,341.96,1
AB-10015,CA-2014-156587,242.94,2
AB-10015,CA-2016-140935,221.98,3
AB-10015,CA-2014-156587,48.712,4
AB-10015,CA-2014-156587,17.94,5
AB-10015,CA-2014-152905,12.624,6
AB-10060,CA-2016-129714,4355.168,1
AB-10060,CA-2017-107174,2036.86,2
AB-10060,CA-2017-107174,449.568,3
AB-10060,CA-2017-118213,167.94,4
AB-10060,US-2016-108637,160.32,5
